,line_urn,heat,heat_scaled
19997,urn:cts:greekLit:tlg0006.tlg019.perseus-grc2:728,-25.286642478646563,-10.0
41539,urn:cts:greekLit:tlg0085.tlg005.perseus-grc2:1537,-22.200133526361657,-8.779391548367354
13489,urn:cts:greekLit:tlg0006.tlg017.perseus-grc2:655,-22.01062227772058,-8.704446348030414
36884,urn:cts:greekLit:tlg0006.tlg004.perseus-grc2:555,-21.822301739070266,-8.62997203266437
32548,urn:cts:greekLit:tlg0006.tlg015.perseus-grc2:1290,-21.392082217629525,-8.45983496452492
28619,urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:3,-21.262414049510955,-8.40855565046491
43872,urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:486,-20.72146477636072,-8.194628762540962
34156,urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:63,-20.721281407683946,-8.194556246517164
24950,urn:cts:greekLit:tlg0006.tlg009.perseus-grc2:284,-20.6260805042949,-8.156907553746095
4219,urn:cts:greekLit:tlg0006.tlg018.perseus-grc2:1252,-20.53939767862224,-8.122627468619783
10207,urn:cts:greekLit:tlg0011.tlg007.perseus-grc2:1491,-20.478671595692138,-8.098612385169545
7303,urn:cts:greekLit:tlg0006.tlg003.perseus-grc2:27,-20.416752417976465,-8.074125473643841
13414,urn:cts:greekLit:tlg0006.tlg017.perseus-grc2:582,-20.36078884458091,-8.051993799404046
30618,urn:cts:greekLit:tlg0006.tlg011.perseus-grc2:736,-20.316035628837906,-8.034295437203214
42231,urn:cts:greekLit:tlg0006.tlg014.perseus-grc2:540,-20.304400769955787,-8.029694249484464
38701,urn:cts:greekLit:tlg0006.tlg010.perseus-grc2:1252,-20.210177950773108,-7.992432355477678
19217,urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:1300,-19.862927522232226,-7.855106718499927
42671,urn:cts:greekLit:tlg0006.tlg014.perseus-grc2:979,-19.796718301942196,-7.828923242245244
13490,urn:cts:greekLit:tlg0006.tlg017.perseus-grc2:656,-19.762287761987835,-7.815307144345558
18010,urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:5,-19.633121230718814,-7.764226210457994
25500,urn:cts:greekLit:tlg0006.tlg009.perseus-grc2:829,-19.43372144010412,-7.685370430856934
18237,urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:239,-19.38416550614879,-7.665772758292386
28976,urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:375,-19.239961929311345,-7.608745188515491
29640,urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:1060,-19.230793155811746,-7.605119253001378
9633,urn:cts:greekLit:tlg0011.tlg007.perseus-grc2:905,-19.19874977997569,-7.59244719665261
32681,urn:cts:greekLit:tlg0006.tlg015.perseus-grc2:1425,-19.193834845041973,-7.59050350842359
42742,urn:cts:greekLit:tlg0006.tlg014.perseus-grc2:1050,-19.08023529360748,-7.54557878125571
41136,urn:cts:greekLit:tlg0085.tlg005.perseus-grc2:1136,-19.070209571591207,-7.54161395198874
12271,urn:cts:greekLit:tlg0085.tlg006.perseus-grc2:521,-19.007316877311442,-7.516742048044643
7234,urn:cts:greekLit:tlg0006.tlg007.perseus-grc2:1255,-19.00038422458787,-7.514000421618981
6491,urn:cts:greekLit:tlg0006.tlg007.perseus-grc2:497,-18.99274984045244,-7.510981284482892
44629,urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:1272,-18.87349616619945,-7.4638205456249365
15120,urn:cts:greekLit:tlg0085.tlg003.perseus-grc2:870,-18.617983258707376,-7.362773952464994
3957,urn:cts:greekLit:tlg0006.tlg018.perseus-grc2:994,-18.576122031964566,-7.346219272744995
5860,urn:cts:greekLit:tlg0011.tlg003.perseus-grc2:1282,-18.56407014758662,-7.3414531657428
5392,urn:cts:greekLit:tlg0011.tlg003.perseus-grc2:800,-18.502436641816153,-7.317079227675494
4378,urn:cts:greekLit:tlg0006.tlg018.perseus-grc2:1389,-18.495034111247975,-7.314151780674798
16454,urn:cts:greekLit:tlg0006.tlg012.perseus-grc2:1092,-18.366814047250262,-7.263445142137876
20689,urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:428,-18.346358720244247,-7.255355761737418
31276,urn:cts:greekLit:tlg0006.tlg015.perseus-grc2:66,-18.29450246873175,-7.23484839245884
487,urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:494,-18.26816746124166,-7.2244338000461354
35471,urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:1408,-18.2306306320986,-7.209589271289595
21254,urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:995,-18.1876948158196,-7.192609628256616
4212,urn:cts:greekLit:tlg0006.tlg018.perseus-grc2:1245,-18.172868172629045,-7.186746199292855
34989,urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:922,-18.12331963283182,-7.167151450864285
20889,urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:629,-18.084511464416096,-7.151804151020704
20780,urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:522,-18.031916144516646,-7.131004505538366
17919,urn:cts:greekLit:tlg0006.tlg006.perseus-grc2:1208,-17.97490868241489,-7.108460009111093
24250,urn:cts:greekLit:tlg0006.tlg016.perseus-grc2:1328,-17.96835031279429,-7.105866398818172
42744,urn:cts:greekLit:tlg0006.tlg014.perseus-grc2:1052,-17.919491223832363,-7.086544304553114
26767,urn:cts:greekLit:tlg0085.tlg007.perseus-grc2:648,-17.887687264071428,-7.073966929052276
23346,urn:cts:greekLit:tlg0006.tlg016.perseus-grc2:446,-17.845402095958935,-7.057244595057877
27967,urn:cts:greekLit:tlg0006.tlg005.perseus-grc2:811,-17.830856677413447,-7.051492380797809
12229,urn:cts:greekLit:tlg0085.tlg006.perseus-grc2:479,-17.78351267978611,-7.03276945320182
32981,urn:cts:greekLit:tlg0006.tlg015.perseus-grc2:1725,-17.765456436195734,-7.025628828025653
2326,urn:cts:greekLit:tlg0085.tlg002.perseus-grc2:438,-17.758781051841687,-7.0229889424181895
18269,urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:271,-17.689936507532174,-6.995763285881285
9080,urn:cts:greekLit:tlg0011.tlg007.perseus-grc2:382,-17.689359285616053,-6.995535014406885
20107,urn:cts:greekLit:tlg0006.tlg019.perseus-grc2:836,-17.630776850286402,-6.972367670075141
29422,urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:830,-17.62082579830491,-6.968432370246429
10817,urn:cts:greekLit:tlg0006.tlg008.perseus-grc2:313,-17.593059006913272,-6.957451556397739
667,urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:675,-17.584787577216282,-6.954180489586883
44568,urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:1210,-17.569547126760288,-6.9481534140394405
10426,urn:cts:greekLit:tlg0011.tlg007.perseus-grc2:1713,-17.54730609147054,-6.93935784724621
9665,urn:cts:greekLit:tlg0011.tlg007.perseus-grc2:937,-17.545603719634087,-6.93868461756066
21224,urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:969,-17.54327695020574,-6.937764460038636
19472,urn:cts:greekLit:tlg0006.tlg019.perseus-grc2:206,-17.520963260924024,-6.928940161082949
17761,urn:cts:greekLit:tlg0006.tlg006.perseus-grc2:1052,-17.498483231262966,-6.920050080211183
11114,urn:cts:greekLit:tlg0006.tlg008.perseus-grc2:606,-17.48063554881322,-6.912991933814397
36864,urn:cts:greekLit:tlg0006.tlg004.perseus-grc2:535,-17.460925753575175,-6.905197385663259
28408,urn:cts:greekLit:tlg0006.tlg005.perseus-grc2:1260,-17.418159075865187,-6.888284631134419
19090,urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:1173,-17.35399772429868,-6.862911016736742
5073,urn:cts:greekLit:tlg0011.tlg003.perseus-grc2:468,-17.334384367687502,-6.855154606755568
5657,urn:cts:greekLit:tlg0011.tlg003.perseus-grc2:1073,-17.25846064741921,-6.825129378877882
17416,urn:cts:greekLit:tlg0006.tlg006.perseus-grc2:693,-17.24551727878532,-6.820010720422211
24070,urn:cts:greekLit:tlg0006.tlg016.perseus-grc2:1143,-17.23355729282578,-6.81528095609322
44831,urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:1484,-17.225251468238678,-6.811996287282755
14372,urn:cts:greekLit:tlg0085.tlg003.perseus-grc2:124,-17.189600326847255,-6.797897483370164
29725,urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:1145,-17.18653609913014,-6.7966856863829985
18373,urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:390,-17.14187301013676,-6.77902296622112
9490,urn:cts:greekLit:tlg0011.tlg007.perseus-grc2:780,-17.098790139348154,-6.761985168172214
38823,urn:cts:greekLit:tlg0006.tlg010.perseus-grc2:1369,-17.05112138054171,-6.743133808666223
27673,urn:cts:greekLit:tlg0006.tlg005.perseus-grc2:511,-16.935269956198013,-6.697318542981375
28008,urn:cts:greekLit:tlg0006.tlg005.perseus-grc2:852,-16.90468784089965,-6.685224365067408
43319,urn:cts:greekLit:tlg0006.tlg014.perseus-grc2:1619,-16.865378524405568,-6.669678878343626
7217,urn:cts:greekLit:tlg0006.tlg007.perseus-grc2:1238,-16.86022378175614,-6.6676403543862515
41663,urn:cts:greekLit:tlg0085.tlg005.perseus-grc2:1661,-16.831257483013935,-6.6561851765125315
35246,urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:1189,-16.805767625198218,-6.646104811815146
21282,urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:1022,-16.788686278373135,-6.639349724879619
13450,urn:cts:greekLit:tlg0006.tlg017.perseus-grc2:617,-16.731010713534495,-6.616541016729716
20007,urn:cts:greekLit:tlg0006.tlg019.perseus-grc2:736,-16.720182152363147,-6.612258692106946
35241,urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:1184,-16.701075473114287,-6.604702655648174
17130,urn:cts:greekLit:tlg0006.tlg006.perseus-grc2:404,-16.679497146298385,-6.5961691673315155
39511,urn:cts:greekLit:tlg0085.tlg001.perseus-grc2:417,-16.658092589824694,-6.587704399226472
24092,urn:cts:greekLit:tlg0006.tlg016.perseus-grc2:1164,-16.644406761888835,-6.582292123576426
2607,urn:cts:greekLit:tlg0085.tlg002.perseus-grc2:722,-16.63864053072284,-6.580011776879207
13495,urn:cts:greekLit:tlg0006.tlg017.perseus-grc2:661,-16.6354190563568,-6.578737794234511
21605,urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:1350,-16.633863320675392,-6.578122554120004
31524,urn:cts:greekLit:tlg0006.tlg015.perseus-grc2:310,-16.622875055865364,-6.573777072184509
